id,didok,bpuic,name,short_name
id_8508194,8194,8508194,Huttwil Sportzentrum,HWSZ
id_8530790,30790,8530790,Sorengo Laghetto,SORL
id_8508174,8174,8508174,Gutenburg,GUBU
id_8505207,5207,8505207,Bodio TI,BO
id_8500218,218,8500218,Olten,OL
id_8504403,4403,8504403,Bargen BE,BRG
id_8500207,207,8500207,Solothurn,SO
id_8505402,5402,8505402,Gordola,GDA
id_8508203,8203,8508203,Zäziwil,ZAE
id_8508006,8006,8508006,Wynigen,WY
id_8507493,7493,8507493,Interlaken West,IW
id_8507003,7003,8507003,Gümligen,GUE
id_8507492,7492,8507492,Interlaken Ost,IO
id_8505111,5111,8505111,Sisikon,SK
id_8507279,7279,8507279,Lenk im Simmental,LENK
id_8500101,101,8500101,Reconvilier,REC
id_8504088,4088,8504088,Broc-Village,BROV
id_8501689,1689,8501689,Zermatt,ZERM
id_8504487,4487,8504487,Rosshäusern,ROSS
id_8500221,221,8500221,Büren an der Aare,BUER
id_8505219,5219,8505219,Lamone-Cadempino,LAM
id_8503314,3314,8503314,Niederhasli,NIE
id_8516272,16272,8516272,Genève-Champel,CHHO
id_8507471,7471,8507471,Eggerberg,EB
id_8516353,16353,8516353,Baldegg Kloster,BLGK
id_8502102,2102,8502102,Oberentfelden,OEF
id_8501568,1568,8501568,Le Châtelard-Frontière,CHFR
id_8503062,3062,8503062,Egg,EGG
id_8503075,3075,8503075,Waltikon,WLTK
id_8504309,4309,8504309,Villeret,VT
id_8508173,8173,8508173,Roggwil Schmitten,ROSC
id_8530614,30614,8530614,Furka DFB,
id_8501447,1447,8501447,Roches Grises,RCHG
id_8501055,1055,8501055,Les Pralies,PRAL
id_8501170,1170,8501170,Bel-Air LEB,BEAI
id_8501474,1474,8501474,Le Sépey,SEP
id_8507287,7287,8507287,Burgholz,BH
id_8502110,2110,8502110,Dulliken,DU
id_8501163,1163,8501163,Prilly-Chasseur,PRCH
id_8501165,1165,8501165,Jouxtens-Mézery,JOUM
id_8501480,1480,8501480,Rennaz (Leysin),REAZ
id_8506127,6127,8506127,Bottighofen,BOT
id_8509256,9256,8509256,La Punt Chamues-ch,LAPU
id_8506125,6125,8506125,Altnau,ALN
id_8501493,1493,8501493,Gryon Barboleuse,BARB
id_8501120,1120,8501120,Lausanne,LS
id_8501729,1729,8501729,Fiesch Feriendorf,FIED
id_8506135,6135,8506135,Berlingen,BER
id_8530067,30067,8530067,Les Salines,LSAL
id_8506008,6008,8506008,Wila,WILA
id_8506046,6046,8506046,Henggart,HGT
id_8502025,2025,8502025,Baldegg,BLG
id_8500082,82,8500082,Bubendorf,BUDO
id_8502216,2216,8502216,Benzenschwil,BNZ
id_8587596,87596,8587596,Chantemerle-près-Blonay,CHAN
id_8505114,5114,8505114,Erstfeld,ER
id_8508066,8066,8508066,Lohn-Lüterkofen,LOLU
id_8504485,4485,8504485,Ferenbalm-Gurbrü,FEG
id_8507281,7281,8507281,Grubenwald,GRU
id_8504400,4400,8504400,Kerzers,KZ
id_8508071,8071,8508071,Schönbühl Shoppyland,SCSH
id_8506204,6204,8506204,Lütisburg,LUET
id_8501057,1057,8501057,La Chèvrerie-Monterêt,CHMO
id_8507084,7084,8507084,Moos,MOOS
id_8507070,7070,8507070,Uetendorf,UE
id_8509364,9364,8509364,Le Prese,PRES
id_8508267,8267,8508267,Ramsei,RAM
id_8509411,9411,8509411,Sargans,SA
id_8509401,9401,8509401,Rüthi SG,RTH
id_8502024,2024,8502024,Hochdorf,HO
id_8517485,17485,8517485,Sur-le-Buis,SLB
id_8516176,16176,8516176,Klingnau,KLI
id_8509413,9413,8509413,Flums,FMS
id_8501475,1475,8501475,Les Echenards,ECHE
id_8501481,1481,8501481,Leysin-Village,LEYV
id_8501482,1482,8501482,Leysin-Feydey,LEY
id_8501117,1117,8501117,Bussigny,BY
id_8504201,4201,8504201,Grandson,GRS
id_8504203,4203,8504203,Concise,CC
id_8501068,1068,8501068,Trélex,TREL
id_8519306,19306,8519306,St. Gallen Güterbahnhof,GBSG
id_8506006,6006,8506006,Rämismühle-Zell,RMZ
id_8501114,1114,8501114,Eclépens,ECL
id_8504321,4321,8504321,La Chaux-de-Fonds Les Forges,CFO
id_8500178,178,8500178,La Ferrière,FER
id_8507274,7274,8507274,Blankenburg,BLB
id_8501096,1096,8501096,Bière,BIER
id_8509181,9181,8509181,Domat/Ems,DE
id_8501686,1686,8501686,Herbriggen,HEBR
id_8501452,1452,8501452,St-Triphon-Gare,STGR
id_8501199,1199,8501199,La Roulaz,ROUL
id_8518885,18885,8518885,Täsch Monte Rosa,MROS
id_8501110,1110,8501110,Ependes VD,EP
